10.56	-19.50	37.38		
14.05	-15.60	33.47		
17.79	-11.38	29.25		
22.71	-5.85	24.37		
27.85	0.65	17.87		
32.67	8.13	11.05		
38.00	16.90	2.60		
42.68	27.95	-6.50		
46.51	39.00	-16.90		
44.94	42.90	-20.47		
43.46	45.82	-23.72		
40.92	47.77	-26.00		
37.64	48.43	-26.65		
36.05	49.07	-27.30		
34.58	49.07	-27.30		
31.96	49.07	-27.62		
29.93	49.07	-27.62		
28.16	49.07	-27.62		
26.89	49.07	-27.30		
25.80	48.75	-27.62		
24.55	48.75	-27.95		
22.21	48.75	-27.62		
20.16	48.75	-27.95		
18.47	48.43	-28.27		
16.46	48.75	-28.27		
14.44	48.75	-28.27		
12.47	48.75	-28.27		
11.08	50.05	-28.27		
8.72	51.68	-28.27		
6.41	53.62	-29.25		
3.99	53.95	-31.85		
2.34	53.95	-32.18		
0.73	53.95	-32.50		
-0.99	53.95	-32.50		
-3.15	52.97	-32.82		
-5.70	51.68	-32.18		
-8.23	49.07	-31.52		
-11.15	45.50	-30.22		
-14.69	40.95	-28.27		
-19.12	35.43	-26.32		
-22.55	28.92	-23.40		
-26.18	21.45	-19.50		
-30.16	13.97	-14.30		
-33.86	6.17	-7.80		
-38.00	-2.60	-0.32		
-41.89	-12.35	8.13		
-43.55	-17.87	15.27		
-44.25	-20.15	23.72		
-43.21	-20.80	27.30		
-42.37	-20.80	30.87		
-41.05	-21.45	33.15		
-39.25	-21.77	34.45		
-33.62	-21.77	35.43		
-31.55	-21.77	35.75		
-29.52	-21.77	36.07		
-27.67	-21.77	36.07		
-26.03	-21.45	36.07		
-24.62	-21.45	36.07		
-23.29	-21.45	36.07		
-21.95	-21.45	35.75		
-20.84	-21.77	35.75		
-19.72	-21.45	35.75		
-19.06	-21.12	35.75		
-18.39	-21.45	35.75		
-17.80	-21.77	37.38		
-17.37	-21.45	39.00		
-17.25	-21.45	40.63		
-17.31	-21.45	41.93		
-17.01	-21.45	42.25		
-15.43	-21.45	43.22		
-14.42	-21.45	43.22		
-13.41	-21.45	43.55		
-12.25	-21.45	43.55		
-11.09	-21.45	43.55		
-10.11	-21.45	43.55		
-9.24	-21.45	43.55		
-8.42	-21.45	43.55		
-7.80	-21.45	43.55		
-7.26	-21.45	43.55		
-6.92	-21.45	43.55		
-6.45	-22.75	43.55		
-6.16	-23.40	43.55		
-5.82	-24.05	43.55		
-5.39	-24.37	43.55		
-5.04	-24.37	43.55		
-4.66	-24.37	43.55		
-4.32	-24.37	43.55		
-4.04	-24.37	43.55		
-3.77	-24.37	43.55		
-3.53	-24.37	43.55		
-3.30	-24.37	43.55		
-3.04	-24.37	43.55		
-2.83	-24.37	43.55		
-2.48	-24.37	43.55		
-2.16	-24.70	43.55		
-1.91	-24.70	43.55		
-1.66	-24.70	43.55		
-1.44	-24.70	43.55		
-1.23	-24.70	43.55		
-0.99	-24.70	43.22		
-0.75	-24.70	43.22		
-0.50	-24.70	42.90		
-0.30	-24.70	42.57		
-0.22	-24.70	42.25		
-0.03	-24.70	41.93		
0.06	-24.70	41.27		
0.09	-24.70	40.95		
0.53	-24.70	40.30		
0.93	-24.70	39.65		
1.76	-24.70	38.68		
2.72	-24.37	38.02		
3.60	-23.40	36.72		
4.40	-21.77	35.10		
5.40	-20.15	33.15		
6.57	-17.87	30.87		
7.44	-15.27	28.27		
8.26	-12.35	25.35		
8.89	-9.10	22.42		
9.16	-5.52	19.17		
9.44	-1.95	15.60		
9.41	1.63	12.35		
9.36	5.20	8.45		
8.95	8.45	5.20		
9.23	11.70	1.63		
9.49	14.30	-0.97		
10.56	17.22	-3.90		
11.60	20.47	-6.82		
12.19	24.05	-10.40		
12.32	27.95	-13.97		
12.71	31.52	-17.22		
12.33	35.43	-20.80		
10.92	39.32	-24.37		
9.08	42.90	-27.30		
8.02	45.82	-29.90		
7.21	47.13	-30.87		
5.55	49.07	-31.85		
3.39	50.05	-31.85		
0.62	50.70	-32.18		
-2.37	50.70	-32.18		
-5.55	49.72	-32.18		
-8.74	46.80	-31.20		
-11.89	43.22	-29.57		
-16.10	38.35	-27.62		
-19.97	32.82	-24.70		
-22.90	26.00	-21.77		
-26.56	18.85	-17.22		
-30.38	11.05	-11.70		
